,total_per_1M,deaths_per_1M,tests_per_1M,deathsPerTotal,iso_alpha,Population_Below_Poverty_National,mean_BMI_men,BMIabove30_men,BMIabove35_men,BMIbelow18_men,mean_BMI_women,BMIabove30_women,BMIabove35_women,BMIbelow18_women,Gross_Domestic_Product_Per_Capita,Prevalence_Child_Malnutrition,Under_Five_Mortality_Rate,Safely_Managed_Drinking_Water_Services,Access_To_Electricity,Renewable_Energy_Consumption,Ambient_Air_Pollution,Carbon_Dioxide_Emissions,Internet_Use,Married_By_Age_18,Women_In_Parliaments,Country,Health_Expenditure_per_Capita,Prevalence_Undernourishment,Adult_Literacy_Rate_Female_2008_2017,Labor_Force_Participation_Female,Labor_Force_Participation_Male,Problems_Accessing_Healthcare_Poorest_MRV,Employed_Children_Total,Teenage_Mothers_Richest_MRV,Life_Expectancy_At_Birth,Population,physician_density,publication_frequency,clinical_trial_frequency
0,4939.0,76.0,59462.0,0.015387730309779307,IND,22.0,21.814527313299898,0.0287154583082912,0.00329822821833655,0.22564316470294302,22.0036655719029,0.0530602003272252,0.0111596695014848,0.237445423613882,5.0,38.0,37.0,,85.0,36.0,76.0,2.0,30.0,25.0,12.0,India,63.0,18.0,59.0,24.0,83.0,79.0,2.0,3.0,69.0,1353.0,0.0007390983000739098,249,114
1,23482.0,696.0,84053.0,0.029639724043948556,BRA,9.0,26.471577138797997,0.19235859735980398,0.0430067668046591,0.0176728464153843,27.038562484912802,0.264350718417324,0.10141134783970698,0.0313124982150033,0.0,,14.0,,1.0,44.0,13.0,3.0,7.0,,11.0,Brazil,1016.0,12.0,92.0,54.0,79.0,,3.0,,76.0,210.0,0.009523809523809525,137,509
2,17046.0,529.0,77761.0,0.031033673589111816,COL,27.0,25.9907319950632,0.18281183849925303,0.0384023059365492,0.0155655760393947,26.7545316581027,0.277013503056093,0.08603090210648799,0.024258959393188,1.0,13.0,14.0,71.0,99.0,24.0,17.0,2.0,58.0,23.0,19.0,Colombia,340.0,10.0,95.0,59.0,84.0,,6.0,5.0,75.0,50.0,0.04,47,80
3,18198.0,482.0,46594.0,0.02648642707989889,ARG,32.0,28.0176823362082,0.28231271029050203,0.0760166752372466,0.0034722757888335396,27.7985885558643,0.30135152806398807,0.12426077293265302,0.0114362640279594,2.0,,10.0,99.0,1.0,1.0,14.0,5.0,71.0,,39.0,Argentina,955.0,4.0,99.0,49.0,75.0,,5.0,,77.0,45.0,0.08888888888888889,37,100
4,6146.0,637.0,15633.0,0.10364464692482915,MEX,42.0,27.635164192315898,0.251199922251672,0.0707262745476546,0.00819934059924906,28.5927058992524,0.33981735269358004,0.132470134144505,0.0152155042889991,1.0,12.0,13.0,43.0,1.0,9.0,19.0,4.0,60.0,,43.0,Mexico,462.0,4.0,94.0,44.0,83.0,,6.0,,77.0,126.0,0.015873015873015872,35,141
5,24762.0,683.0,185219.0,0.027582586220822228,CHL,9.0,27.9918030187158,0.257334656169527,0.0614284571959122,0.0030609826601061,28.343604961242104,0.32126225046767304,0.128897176672899,0.00926056651487859,1.0,2.0,7.0,98.0,1.0,25.0,22.0,5.0,84.0,,16.0,Chile,1191.0,5.0,97.0,51.0,76.0,,5.0,,80.0,19.0,0.05263157894736842,21,32
6,9666.0,237.0,59798.0,0.02451893234016139,IRQ,19.0,27.951739500665102,0.24300744174543398,0.0640951509892957,0.0198542607763568,29.9427399379875,0.383327644969471,0.136748135482424,0.0200485855249189,-4.0,23.0,27.0,,1.0,1.0,73.0,5.0,21.0,24.0,25.0,Iraq,153.0,28.0,38.0,12.0,76.0,,6.0,,70.0,38.0,0.02631578947368421,12,3
7,2260.0,33.0,12274.0,0.014601769911504425,BGD,24.0,21.401081685297502,0.0237082902390262,0.00174641131809482,0.19660015801746103,22.052606080461803,0.0518913161380624,0.00871083093192053,0.228373550149078,6.0,36.0,30.0,56.0,76.0,35.0,11.0,1.0,18.0,59.0,2.0,Bangladesh,34.0,21.0,70.0,36.0,87.0,,5.0,23.0,73.0,161.0,0.006211180124223602,50,16
8,1425.0,29.0,16802.0,0.020350877192982456,PAK,24.0,23.4174795542451,0.0626478238215907,0.00907416634351575,0.147651858642987,24.807138072943697,0.11754514945375501,0.0362163898418433,0.143819810134672,4.0,45.0,69.0,36.0,99.0,47.0,76.0,1.0,16.0,21.0,21.0,Pakistan,40.0,23.0,44.0,24.0,84.0,87.0,13.0,3.0,67.0,212.0,0.0047169811320754715,42,58
9,1151.0,42.0,13109.0,0.036490008688097306,IDN,10.0,22.587183386325304,0.0497848357714258,0.00600546233591574,0.12678693235223099,23.9040104064358,0.0927857960273227,0.0188144755645261,0.124083603879271,4.0,36.0,25.0,,98.0,37.0,17.0,2.0,26.0,14.0,2.0,Indonesia,112.0,18.0,94.0,52.0,84.0,47.0,4.0,3.0,69.0,268.0,0.0,296,28
